model,experiment,subject,accuracy,precision,recall,f1
rf,chest_acc,S2,0.6666666666666666,0.6666666666666666,0.17391304347826086,0.27586206896551724
rf,chest_acc,S3,0.71875,0.875,0.2916666666666667,0.4375
rf,chest_acc,S4,0.746031746031746,1.0,0.30434782608695654,0.4666666666666667
rf,chest_acc,S5,0.90625,1.0,0.7391304347826086,0.85
rf,chest_acc,S6,0.8307692307692308,0.9333333333333333,0.5833333333333334,0.717948717948718
rf,chest_acc,S7,0.703125,0.5476190476190477,1.0,0.7076923076923077
rf,chest_acc,S8,0.9545454545454546,0.9583333333333334,0.92,0.9387755102040817
rf,chest_acc,S9,0.84375,0.8421052631578947,0.6956521739130435,0.7619047619047619
rf,chest_acc,S10,0.8955223880597015,0.7878787878787878,1.0,0.8813559322033898
rf,chest_acc,S11,0.8955223880597015,0.8461538461538461,0.88,0.8627450980392157
rf,chest_acc,S13,0.8939393939393939,0.84,0.875,0.8571428571428571
rf,chest_acc,S14,0.765625,0.6363636363636364,0.875,0.7368421052631579
rf,chest_acc,S15,0.6818181818181818,0.7,0.28,0.4
rf,chest_acc,S16,0.9846153846153847,0.96,1.0,0.9795918367346939
rf,chest_acc,S17,0.7164179104477612,1.0,0.2692307692307692,0.42424242424242425
rf,chest_eda,S2,0.8095238095238095,0.7037037037037037,0.8260869565217391,0.76
rf,chest_eda,S3,0.828125,0.782608695652174,0.75,0.7659574468085106
rf,chest_eda,S4,1.0,1.0,1.0,1.0
rf,chest_eda,S5,0.796875,0.6388888888888888,1.0,0.7796610169491526
rf,chest_eda,S6,0.7846153846153846,0.6388888888888888,0.9583333333333334,0.7666666666666667
rf,chest_eda,S7,0.71875,0.5609756097560976,1.0,0.71875
rf,chest_eda,S8,0.7575757575757576,0.9090909090909091,0.4,0.5555555555555556
rf,chest_eda,S9,0.921875,0.8214285714285714,1.0,0.9019607843137255
rf,chest_eda,S10,0.7014925373134329,1.0,0.23076923076923078,0.375
rf,chest_eda,S11,0.8059701492537313,0.8,0.64,0.7111111111111111
rf,chest_eda,S13,0.8636363636363636,0.9411764705882353,0.6666666666666666,0.7804878048780488
rf,chest_eda,S14,0.671875,0.6666666666666666,0.25,0.36363636363636365
rf,chest_eda,S15,0.7121212121212122,0.875,0.28,0.42424242424242425
rf,chest_eda,S16,1.0,1.0,1.0,1.0
rf,chest_eda,S17,0.7164179104477612,0.6666666666666666,0.5384615384615384,0.5957446808510638
rf,chest_emg,S2,0.30158730158730157,0.21621621621621623,0.34782608695652173,0.26666666666666666
rf,chest_emg,S3,0.59375,0.25,0.041666666666666664,0.07142857142857142
rf,chest_emg,S4,0.6031746031746031,0.45454545454545453,0.43478260869565216,0.4444444444444444
rf,chest_emg,S5,0.6875,0.5789473684210527,0.4782608695652174,0.5238095238095238
rf,chest_emg,S6,0.6153846153846154,0.3333333333333333,0.041666666666666664,0.07407407407407407
rf,chest_emg,S7,0.328125,0.2826086956521739,0.5652173913043478,0.37681159420289856
rf,chest_emg,S8,0.6515151515151515,0.5555555555555556,0.4,0.46511627906976744
rf,chest_emg,S9,0.421875,0.3541666666666667,0.7391304347826086,0.4788732394366197
rf,chest_emg,S10,0.6268656716417911,0.5714285714285714,0.15384615384615385,0.24242424242424243
rf,chest_emg,S11,0.7313432835820896,0.7333333333333333,0.44,0.55
rf,chest_emg,S13,0.5606060606060606,0.43902439024390244,0.75,0.5538461538461539
rf,chest_emg,S14,0.6875,0.5588235294117647,0.7916666666666666,0.6551724137931034
rf,chest_emg,S15,0.6515151515151515,0.625,0.2,0.30303030303030304
rf,chest_emg,S16,0.4153846153846154,0.38333333333333336,0.9583333333333334,0.5476190476190477
rf,chest_emg,S17,0.582089552238806,0.3333333333333333,0.07692307692307693,0.125
rf,chest_heart,S2,0.6825396825396826,0.6363636363636364,0.30434782608695654,0.4117647058823529
rf,chest_heart,S3,0.890625,1.0,0.7083333333333334,0.8292682926829268
rf,chest_heart,S4,0.8571428571428571,1.0,0.6086956521739131,0.7567567567567568
rf,chest_heart,S5,0.65625,1.0,0.043478260869565216,0.08333333333333333
rf,chest_heart,S6,0.8307692307692308,0.9333333333333333,0.5833333333333334,0.717948717948718
rf,chest_heart,S7,0.859375,1.0,0.6086956521739131,0.7567567567567568
rf,chest_heart,S8,0.8787878787878788,0.8695652173913043,0.8,0.8333333333333334
rf,chest_heart,S9,0.859375,0.8888888888888888,0.6956521739130435,0.7804878048780488
rf,chest_heart,S10,0.417910447761194,0.4,1.0,0.5714285714285714
rf,chest_heart,S11,0.8507462686567164,0.7142857142857143,1.0,0.8333333333333334
rf,chest_heart,S13,0.6666666666666666,0.5263157894736842,0.8333333333333334,0.6451612903225806
rf,chest_heart,S14,0.9375,0.8571428571428571,1.0,0.9230769230769231
rf,chest_heart,S15,0.7575757575757576,0.6363636363636364,0.84,0.7241379310344828
rf,chest_heart,S16,1.0,1.0,1.0,1.0
rf,chest_heart,S17,0.9253731343283582,0.8387096774193549,1.0,0.9122807017543859
rf,chest_statistical,S2,0.6825396825396826,1.0,0.13043478260869565,0.23076923076923078
rf,chest_statistical,S3,0.84375,0.85,0.7083333333333334,0.7727272727272727
rf,chest_statistical,S4,0.6349206349206349,0.0,0.0,0.0
rf,chest_statistical,S5,0.96875,0.92,1.0,0.9583333333333334
rf,chest_statistical,S6,0.9846153846153847,1.0,0.9583333333333334,0.9787234042553191
rf,chest_statistical,S7,0.859375,0.71875,1.0,0.8363636363636363
rf,chest_statistical,S8,0.9696969696969697,0.96,0.96,0.96
rf,chest_statistical,S9,0.84375,0.8095238095238095,0.7391304347826086,0.7727272727272727
rf,chest_statistical,S10,0.6716417910447762,1.0,0.15384615384615385,0.26666666666666666
rf,chest_statistical,S11,0.9402985074626866,0.8620689655172413,1.0,0.9259259259259259
rf,chest_statistical,S13,0.8939393939393939,1.0,0.7083333333333334,0.8292682926829268
rf,chest_statistical,S14,0.9375,0.8571428571428571,1.0,0.9230769230769231
rf,chest_statistical,S15,0.8636363636363636,1.0,0.64,0.7804878048780488
rf,chest_statistical,S16,1.0,1.0,1.0,1.0
rf,chest_statistical,S17,0.9402985074626866,1.0,0.8461538461538461,0.9166666666666666
rf,wrist_acc,S2,0.9206349206349206,0.9090909090909091,0.8695652173913043,0.8888888888888888
