model,experiment,subject,accuracy,precision,recall,f1
rf,chest_acc,S2,0.6753246753246753,0.0,0.0,0.0
rf,chest_acc,S3,0.6962025316455697,0.5,0.3333333333333333,0.4
rf,chest_acc,S4,0.7142857142857143,1.0,0.043478260869565216,0.08333333333333333
rf,chest_acc,S5,0.7948717948717948,1.0,0.30434782608695654,0.4666666666666667
rf,chest_acc,S6,0.7974683544303798,1.0,0.3333333333333333,0.5
rf,chest_acc,S7,0.7435897435897436,0.5365853658536586,0.9565217391304348,0.6875
rf,chest_acc,S8,0.7375,0.75,0.24,0.36363636363636365
rf,chest_acc,S9,0.8076923076923077,0.9,0.391304347826087,0.5454545454545454
rf,chest_acc,S10,0.9012345679012346,0.8214285714285714,0.8846153846153846,0.8518518518518519
rf,chest_acc,S11,0.7317073170731707,0.5882352941176471,0.4,0.47619047619047616
rf,chest_acc,S13,0.6419753086419753,0.4074074074074074,0.4583333333333333,0.43137254901960786
rf,chest_acc,S14,0.7848101265822784,0.64,0.6666666666666666,0.6530612244897959
rf,chest_acc,S15,0.6625,0.4,0.16,0.22857142857142856
rf,chest_acc,S16,0.9620253164556962,0.9565217391304348,0.9166666666666666,0.9361702127659575
rf,chest_acc,S17,0.6666666666666666,0.46153846153846156,0.23076923076923078,0.3076923076923077
rf,chest_eda,S2,0.7922077922077922,0.7058823529411765,0.5217391304347826,0.6
rf,chest_eda,S3,0.759493670886076,0.6190476190476191,0.5416666666666666,0.5777777777777777
rf,chest_eda,S4,1.0,1.0,1.0,1.0
rf,chest_eda,S5,0.7051282051282052,0.5,1.0,0.6666666666666666
rf,chest_eda,S6,0.8860759493670886,0.7419354838709677,0.9583333333333334,0.8363636363636363
rf,chest_eda,S7,0.9615384615384616,0.8846153846153846,1.0,0.9387755102040817
rf,chest_eda,S8,0.7625,1.0,0.24,0.3870967741935484
rf,chest_eda,S9,0.8205128205128205,0.6216216216216216,1.0,0.7666666666666667
rf,chest_eda,S10,0.7283950617283951,1.0,0.15384615384615385,0.26666666666666666
rf,chest_eda,S11,0.8170731707317073,0.8571428571428571,0.48,0.6153846153846154
rf,chest_eda,S13,0.8395061728395061,0.9230769230769231,0.5,0.6486486486486487
rf,chest_eda,S14,0.7088607594936709,0.5714285714285714,0.16666666666666666,0.25806451612903225
rf,chest_eda,S15,0.7125,0.6666666666666666,0.16,0.25806451612903225
rf,chest_eda,S16,0.9746835443037974,0.9230769230769231,1.0,0.96
rf,chest_eda,S17,0.7160493827160493,0.6153846153846154,0.3076923076923077,0.41025641025641024
rf,chest_emg,S2,0.4935064935064935,0.13636363636363635,0.13043478260869565,0.13333333333333333
rf,chest_emg,S3,0.620253164556962,0.25,0.125,0.16666666666666666
rf,chest_emg,S4,0.7402597402597403,0.5882352941176471,0.43478260869565216,0.5
rf,chest_emg,S5,0.6538461538461539,0.3333333333333333,0.17391304347826086,0.22857142857142856
rf,chest_emg,S6,0.6962025316455697,0.0,0.0,0.0
rf,chest_emg,S7,0.4358974358974359,0.24390243902439024,0.43478260869565216,0.3125
rf,chest_emg,S8,0.6875,0.5,0.24,0.32432432432432434
rf,chest_emg,S9,0.41025641025641024,0.2653061224489796,0.5652173913043478,0.3611111111111111
rf,chest_emg,S10,0.6666666666666666,0.0,0.0,0.0
rf,chest_emg,S11,0.7682926829268293,0.7142857142857143,0.4,0.5128205128205128
